""	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"
"AFFX-M27830_5_at"	"3.80739971275949"	"2"	"2.31597034545692"	"2.23044892137827"	"3.17347764345299"	"4.10092168032085"	"2.44870631990508"	"2.7664128471124"	"4.20411998265593"	"4.18227195669419"	"4.20411998265593"	"4.20411998265593"	"2.50379068305718"	"2.53907609879278"	"2.62428209583567"	"2.34635297445064"	"2.30102999566398"	"2.01703333929878"	"2.55022835305509"	"2.39619934709574"	"2.44090908206522"	"3.31806333496276"	"3.07261747654524"	"2.06069784035361"	"2"	"2"	"2"	"2"	"2"	"2.15228834438306"	"2.54282542695918"	"3.01283722470517"	"2.16435285578444"	"2.30319605742049"
"AFFX-M27830_M_at"	"4.20411998265593"	"3.30728204703335"	"3.4119562379304"	"2.92992956008459"	"3.47231754631684"	"4.13605434955106"	"2.88366143515362"	"3.13513265137677"	"3.99242095605202"	"4.08859672826275"	"4.18613667169178"	"4.20411998265593"	"3.23401081758718"	"3.11826472608948"	"3.20897851727625"	"3.09096307659573"	"3.28555730900777"	"2.64933485871214"	"3.25935492730803"	"3.13161866434913"	"3.35564305022087"	"3.58024050826538"	"3.34321159017975"	"2.92992956008459"	"2.89762709129044"	"2.96801571399364"	"2.99211148778695"	"2.69019608002851"	"2.65127801399814"	"3.19368102954128"	"3.26245108973043"	"3.44731310882357"	"2.6170003411209"	"3.49359744900053"
"AFFX-M27830_3_at"	"2.65896484266444"	"2.53655844257153"	"2.91487181754005"	"2.50920252233110"	"2.98362628712453"	"2.91169015875386"	"2"	"2.83569057149243"	"2.32428245529769"	"2.27875360095283"	"2"	"2.2718416065365"	"2.83569057149243"	"2.87563993700417"	"2"	"2.98677173426624"	"2.00860017176192"	"2.63447727016073"	"2.85913829729453"	"2.61384182187607"	"2"	"2.99122607569249"	"2"	"2"	"2.86213137931304"	"2.79448804665917"	"3.09096307659573"	"2.54654266347813"	"2.76566855475901"	"2"	"2.19312459835446"	"3.04532297878666"	"2.85793526471943"	"2.73559889969818"
"AFFX-HSAC07/X00351_3_st"	"2.79379038469082"	"2.77887447200274"	"3.01745072951054"	"2.98587535730839"	"3.08564728829686"	"3.60873991906879"	"3.22219604630172"	"3.04999285692014"	"3.19368102954128"	"2.73719264270474"	"2.97863694838447"	"3.37032800777951"	"2.8555191556678"	"2.96473092105363"	"3.06107532362979"	"2.79934054945358"	"2.99343623049761"	"2.91698004732038"	"2.92788341033071"	"3.29994290002277"	"3.54394394248291"	"2.92634244662566"	"2.84323277809801"	"2.87390159786446"	"3.01661554755718"	"2.86923171973098"	"3.07554696139253"	"3.19672872262329"	"2.98677173426624"	"2.98317507203781"	"3.05804623039528"	"3.67651071028255"	"3.06145247908719"	"3.15926633109349"
"AFFX-HUMGAPDH/M33197_M_st"	"2.42651126136458"	"2.40993312333129"	"2"	"2.42813479402879"	"2"	"2"	"2.34242268082221"	"2.09342168516224"	"2.48855071650044"	"2.11727129565576"	"2"	"2.52504480703685"	"2.12057393120585"	"2.19865708695442"	"2"	"2.40483371661994"	"2.33243845991561"	"2.07554696139253"	"2"	"2.04532297878666"	"2.56110138364906"	"2.42651126136458"	"2.60852603357719"	"2.67209785793572"	"2.10037054511756"	"2.20682587603185"	"2"	"2"	"2"	"2"	"2"	"2.57863920996807"	"2"	"2"
"AFFX-HUMGAPDH/M33197_3_st"	"2"	"2.64345267648619"	"2.19865708695442"	"2"	"2.41830129131975"	"2.46834733041216"	"2.26245108973043"	"2.34830486304816"	"2.25527250510331"	"2"	"2.03742649794062"	"2.60422605308447"	"2.16731733474818"	"2.36921585741014"	"2"	"2"	"2"	"2.23552844690755"	"2.22788670461367"	"2.32221929473392"	"2.99166900737995"	"2.85793526471943"	"2.65321251377534"	"2.52374646681156"	"2"	"2.46834733041216"	"2"	"2.29885307640971"	"2.19865708695442"	"2.12385164096709"	"2"	"2.82607480270083"	"2.59988307207369"	"2"
"AFFX-HSAC07/X00351_M_st"	"2.28555730900777"	"2.81954393554187"	"2.63848925695464"	"2"	"2.12385164096709"	"3.02612451674545"	"2.33445375115093"	"2.71264970162721"	"2.22010808804006"	"2"	"2.15228834438306"	"2.59328606702046"	"2.19033169817029"	"2.24303804868629"	"2.00860017176192"	"2"	"2.26245108973043"	"2.32633586092875"	"2.68484536164441"	"2.41664050733828"	"2.02938377768521"	"2.62634036737504"	"2.32428245529769"	"2.70757017609794"	"2.13672056715641"	"2.35983548233989"	"2.53147891704226"	"2.37291200297011"	"2.59769518592551"	"2.12385164096709"	"2"	"2.83695673705955"	"2.72263392253381"	"2.45331834004704"
"A28102_at"	"2.38201704257487"	"2.63346845557959"	"2"	"2"	"2.41497334797082"	"2"	"2.41664050733828"	"2.74429298312268"	"2.48855071650044"	"2.67394199863409"	"2.03342375548695"	"2.39619934709574"	"2.07188200730613"	"2"	"2.31386722036915"	"2.23299611039215"	"2.38916608436453"	"2.42651126136458"	"2.58092497567562"	"2.46089784275655"	"2.13987908640124"	"2"	"2.63346845557959"	"2.67394199863409"	"2.07918124604762"	"2.21218760440396"	"3.04375512696868"	"2.60422605308447"	"2.16136800223497"	"2.49968708261840"	"2.35793484700045"	"2.59659709562646"	"2.49276038902684"	"2.57170883180869"
"AB000115_at"	"2.39967372148104"	"2.11727129565576"	"2.13987908640124"	"3.05956341790127"	"2.10720996964787"	"2.51454775266029"	"2.0899051114394"	"2.17318626841227"	"2.34044411484012"	"2.76715586608218"	"2.10380372095596"	"2.33243845991561"	"2.2405492482826"	"2.18752072083646"	"2.00432137378264"	"3.15259407792747"	"2.69983772586725"	"2"	"2.11727129565576"	"2.22271647114758"	"2"	"2"	"2.09342168516224"	"2.26245108973043"	"2.40140054078154"	"2.11727129565576"	"2.93399316383124"	"2.28103336724773"	"2"	"2.02118929906994"	"2.02530586526477"	"2.52374646681156"	"2.37106786227174"	"2.57634135020579"
"AB000409_at"	"2"	"2.25767857486918"	"2"	"2"	"2"	"2"	"2.09691001300806"	"2.12710479836481"	"2.08278537031645"	"2.20682587603185"	"2"	"2"	"2"	"2"	"2.00432137378264"	"2.09691001300806"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.5327543789925"	"2"	"2"	"2"	"2"	"2"	"2"	"2.62013605497376"	"2.92685670894969"	"2.60530504614111"
"AB000449_at"	"2.17318626841227"	"2"	"2.45178643552429"	"2.45484486000851"	"2.92064500140679"	"2.27875360095283"	"2.54777470538782"	"2.5705429398819"	"2.39619934709574"	"2.43933269383026"	"2.06069784035361"	"2"	"2"	"2"	"2.54032947479087"	"2.58206336291171"	"2.06069784035361"	"2"	"2.40993312333129"	"2.29003461136252"	"2"	"2"	"2"	"2"	"2.25527250510331"	"2"	"2"	"2.30319605742049"	"2"	"2"	"2.14921911265538"	"2.41329976408125"	"2.22530928172586"	"2"
"AB000464_at"	"3.06107532362979"	"3.00902574208691"	"2.72427586960079"	"2.76492298464989"	"2.77232170672292"	"2.8750612633917"	"2.25767857486918"	"2.65705585285710"	"2.52633927738984"	"2.58319877396862"	"2.43136376415899"	"2.56937390961505"	"2.79239168949825"	"2.94546858513182"	"2.73878055848437"	"2.54157924394658"	"2.77451696572855"	"2.54032947479087"	"2.78318869107526"	"2.25527250510331"	"2.28330122870355"	"3.03662889536216"	"2.87390159786446"	"2.91115760873998"	"2.95904139232109"	"2.68033551341456"	"2.96284268120124"	"2.82020145948564"	"3.182129214053"	"2.82930377283102"	"2.69810054562339"	"3.00043407747932"	"2.98811284026835"	"2.86981820797933"
"AB000468_at"	"2"	"2"	"2.4345689040342"	"2.88592633980143"	"3.24699069924155"	"2"	"2.88479536394898"	"2.39269695325967"	"2.71180722904119"	"2.41161970596323"	"2"	"2"	"2.72509452108147"	"2.97173959088778"	"2.81822589361396"	"2.83505610172012"	"3.25767857486918"	"2.49692964807321"	"2.37839790094814"	"2.52504480703685"	"2.37291200297011"	"3.39846084960822"	"2"	"2.57518784492766"	"2.59549622182557"	"2.28330122870355"	"2"	"2.46982201597816"	"2.37657695705651"	"2.42651126136458"	"2.89817648349768"	"2.75966784468963"	"2.40140054078154"	"2.52244423350632"
"AB000584_at"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.02118929906994"	"2.00860017176192"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.21218760440396"	"2"	"2"	"2"
"AB001106_at"	"2.04532297878666"	"2.35793484700045"	"2.41664050733828"	"2.25527250510331"	"2.93601079571521"	"2.42488163663107"	"2.41161970596323"	"2.26007138798507"	"2.48429983934679"	"2.28103336724773"	"2.08278537031645"	"2"	"2.58658730467176"	"2.94792361983173"	"2.51719589794997"	"2.77959649125782"	"2.67760695272049"	"2.3096301674259"	"2.22788670461367"	"2.39093510710338"	"2.50105926221775"	"2.96425963019685"	"2.38560627359831"	"2.52891670027765"	"2.32221929473392"	"2.31806333496276"	"2"	"2.40823996531185"	"2.68214507637383"	"2.40993312333129"	"2.53781909507327"	"2.56937390961505"	"2.6954816764902"	"2.20951501454263"
"AB001325_at"	"3.0068937079479"	"2.71683772329952"	"2.84198480459011"	"2.93094903116752"	"2.94051648493257"	"3.26458172923808"	"2.67669360962487"	"2.95327633666730"	"2.85672889038288"	"2.8926510338773"	"2.70671778233676"	"2.65127801399814"	"2.70757017609794"	"2.8819549713396"	"2.68033551341456"	"2.82542611776782"	"2.87390159786446"	"2.81557774832427"	"3.01367969729119"	"2.81624129999178"	"2.5705429398819"	"3.08493357493672"	"3.03502928220237"	"3.07773117965239"	"2.82607480270083"	"2.73399928653839"	"3.15350998930084"	"2.87737134586977"	"3.17143390094301"	"2.82930377283102"	"2.78390357927274"	"3.12483014941386"	"3.21404867941194"	"2.82672252016899"
"AB002315_at"	"2.27875360095283"	"2"	"2.49276038902684"	"2.29003461136252"	"2.45484486000851"	"2"	"2"	"2.26717172840301"	"2.39093510710338"	"2.32221929473392"	"2"	"2.01283722470517"	"2.23552844690755"	"2.37839790094814"	"2.4983105537896"	"2.67024585307412"	"2.16136800223497"	"2.20139712432045"	"2.17897694729317"	"2.07554696139253"	"2.32633586092875"	"2.63447727016073"	"2.61909333062674"	"2.60638136511061"	"2.46686762035411"	"2.00860017176192"	"2"	"2"	"2"	"2"	"2.25527250510331"	"2"	"2"	"2.01703333929878"
"AB002318_at"	"3.09096307659573"	"2.70757017609794"	"3.04571405894087"	"2.90417436828416"	"3.21801004298436"	"3.37217528611506"	"2.61278385671974"	"2.77158748088126"	"2.7664128471124"	"2.55509444857832"	"2.85186960072977"	"2.86746748785905"	"2.93500315145365"	"3.0618293072947"	"3.08206693428511"	"3.03702787975578"	"2.71180722904119"	"2.91803033678488"	"2.93701610746481"	"2.64542226934909"	"2.49554433754645"	"3.10311925354571"	"2.91381385238372"	"2.94349451590610"	"2.94051648493257"	"2.8998205024271"	"3.09725730969342"	"2.50920252233110"	"3.20330491613848"	"2.97954837470410"	"2.70070371714502"	"3.08742645703629"	"2.86391737695786"	"2.66086547800387"
"AB002382_at"	"2.88479536394898"	"2.78103693862113"	"2.24551266781415"	"2.53907609879278"	"2.76566855475901"	"2.8481891169914"	"2.60530504614111"	"2.14921911265538"	"2"	"2.26717172840301"	"2.56702636615906"	"2.20139712432045"	"2.15533603746506"	"2.41664050733828"	"2.50920252233110"	"2.69372694892365"	"2.06069784035361"	"2.67577834167409"	"2.76417613239033"	"2.23552844690755"	"2.39967372148104"	"3.14921911265538"	"2.50650503240487"	"2.28103336724773"	"2.68484536164441"	"2.5327543789925"	"2.75434833571102"	"2.14921911265538"	"2.68214507637383"	"2.25285303097989"	"2.44090908206522"	"3.07298474462793"	"2.92012332629072"	"2.81157500587059"
"AB002559_at"	"3.08421868673924"	"3.03342375548695"	"3.02242837118549"	"2.82865989653532"	"2.85003325768977"	"3.10037054511756"	"3.02160271602824"	"3.24229290498293"	"3.12057393120585"	"2.86332286012046"	"2.91645394854993"	"3.03019478535675"	"2.88874096068289"	"2.83884909073726"	"3.04883008652835"	"2.93751789201735"	"2.75127910398334"	"2.98136550907854"	"3.13893394025692"	"3.13257984765974"	"2.9329808219232"	"3.27230584440209"	"3.20221577580113"	"3.29688447553855"	"3.42618582524451"	"3.05230909964732"	"3.55642312137129"	"3.33304402982349"	"3.20493352235414"	"2.88592633980143"	"2.95085145888855"	"3.40019248859258"	"3.46284703583167"	"3.33183204443625"
"AB003102_at"	"2.66370092538965"	"2.72997428569956"	"2.93851972517649"	"2.63548374681491"	"3.10140335055533"	"2.8750612633917"	"2.78887511577542"	"2.73639650227664"	"2.40140054078154"	"2.64246452024212"	"2.54282542695918"	"2.21748394421391"	"2.66464197555613"	"2.80208925788173"	"2.95616843047536"	"2.88309335857569"	"2.79169064902012"	"2.60314437262018"	"2.69810054562339"	"2.42975228000241"	"2.14921911265538"	"3.19617618503997"	"2.84323277809801"	"2.82736927305383"	"2.66931688056611"	"2.61278385671974"	"2.63245729218472"	"2.45939248775923"	"2.72098574415374"	"2.61384182187607"	"2.85003325768977"	"2.82865989653532"	"2.90579588036787"	"2.70926996097583"
"AB003177_at"	"2.49276038902684"	"3.01577875638904"	"2.94792361983173"	"2.53402610605613"	"3.00817418400643"	"2.8750612633917"	"2.87448181769947"	"2.88138465677057"	"2.67394199863409"	"2.92890769024395"	"2.49554433754645"	"2.55750720190566"	"2.78390357927274"	"2.86033800657099"	"3.07188200730613"	"3.06929801211553"	"2.66558099101795"	"2.55750720190566"	"2.77959649125782"	"2.33845649360460"	"2.69635638873333"	"2.90902085421116"	"2.60638136511061"	"2.7664128471124"	"2.98855895687862"	"2.56937390961505"	"2.50242711998443"	"2.36735592102602"	"2.92012332629072"	"2.65127801399814"	"2.86569605991607"	"2.89762709129044"	"3.01367969729119"	"2.78103693862113"
"AB003698_at"	"2.06069784035361"	"2.24303804868629"	"2.27646180417324"	"2.20139712432045"	"2.8481891169914"	"2.4456042032736"	"2.47421626407626"	"2.29885307640971"	"2.36361197989214"	"2.17026171539496"	"2"	"2"	"2"	"2"	"2.42813479402879"	"2.18184358794477"	"2"	"2.18752072083646"	"2.49692964807321"	"2.31175386105575"	"2"	"2.22788670461367"	"2"	"2"	"2.47567118832443"	"2.09691001300806"	"2.05690485133647"	"2.12385164096709"	"2"	"2.04532297878666"	"2.14301480025410"	"2.33445375115093"	"2.29003461136252"	"2"
"AB004884_at"	"2.69372694892365"	"2.76715586608218"	"2.93651374247889"	"2.87737134586977"	"3.21879799811174"	"3.01199311465926"	"2.79865064544527"	"2.75511226639507"	"2.55022835305509"	"2.96848294855393"	"2.77524625974024"	"2.79028516403324"	"2.75663610824585"	"2.72997428569956"	"2.95760728706010"	"3.05461305455689"	"2.96142109406645"	"2.59769518592551"	"2.71180722904119"	"2.58883172559421"	"2.45636603312904"	"3.01410032151962"	"2.91275330367132"	"2.8109042806687"	"2.59659709562646"	"2.53529412004277"	"2.65417654187796"	"2.57403126772772"	"2.87448181769947"	"2.55990662503611"	"2.65030752313194"	"3.12352498094273"	"3.14550717140966"	"2.77451696572855"
"AC000061_cds2_at"	"2"	"2.93449845124357"	"2.33645973384853"	"2.37106786227174"	"2.17318626841227"	"2.91539983521227"	"2.28780172993023"	"2.39269695325967"	"2.3541084391474"	"2.33445375115093"	"2.29446622616159"	"2.42488163663107"	"2.04921802267018"	"2.72427586960079"	"2.09691001300806"	"2.56229286445647"	"2"	"2.56348108539441"	"2.30749603791321"	"2.3541084391474"	"2"	"2.49968708261840"	"2.28555730900777"	"2.50920252233110"	"2.13987908640124"	"2.46239799789896"	"2.38201704257487"	"2.53781909507327"	"2.80685802951882"	"2"	"2.27646180417324"	"2.53655844257153"	"2.72263392253381"	"2.01703333929878"
"AC000064_cds1_at"	"2.3541084391474"	"2.80071707828239"	"2.40312052117582"	"2.39794000867204"	"2.60422605308447"	"2.72181061521255"	"2.13672056715641"	"2.45636603312904"	"2.16136800223497"	"2.10380372095596"	"2.26481782300954"	"2.09691001300806"	"2.26007138798507"	"2.17318626841227"	"2.65896484266444"	"2.55022835305509"	"2.50514997831991"	"2.4345689040342"	"2.29666519026153"	"2.26245108973043"	"2.14921911265538"	"2.83378437465648"	"2.76417613239033"	"2.76566855475901"	"2.73878055848437"	"2.51587384371168"	"2.58319877396862"	"2.53402610605613"	"2.88366143515362"	"2.56820172406700"	"2.37291200297011"	"2.65127801399814"	"3.02857125269254"	"2.52504480703685"
"AC002073_cds1_at"	"2.20682587603185"	"2"	"2.34635297445064"	"2.45788189673399"	"2.28103336724773"	"2.44715803134222"	"2"	"2.38021124171161"	"2"	"2"	"2.2718416065365"	"2"	"2.8394780473742"	"2.74350976472843"	"2"	"2.84135947045485"	"2.07554696139253"	"2.18752072083646"	"2.14921911265538"	"2"	"2"	"2.51321760006794"	"2"	"2"	"2.19589965240923"	"2"	"2.50242711998443"	"2.12710479836481"	"2.74036268949424"	"2"	"2.01703333929878"	"2.34830486304816"	"2"	"2.22010808804006"
"AC002115_cds1_at"	"3.48981790830145"	"3.37364747220922"	"3.33284226699435"	"3.48258776952677"	"3.62242127397567"	"3.60648885044265"	"3.52022143588196"	"3.44793286559218"	"3.46538285144842"	"3.43360984332372"	"3.09795107099415"	"3.32428245529769"	"3.2496874278053"	"3.42926766643317"	"3.6018427897821"	"3.48101242095657"	"3.23502315949522"	"3.41430468812833"	"3.28397928423848"	"3.2043913319193"	"3.96698602511794"	"3.53605315515920"	"3.34478512263266"	"3.3600250891894"	"3.58568627845250"	"3.37106786227174"	"3.48657215051836"	"3.45939248775923"	"3.49276038902684"	"3.54530711646582"	"3.59406090127042"	"3.73271534034999"	"3.22193559982801"	"3.59328606702046"
"AC002115_rna2_at"	"2.51188336097887"	"2"	"2.5854607295085"	"2.67394199863409"	"2.72916478969277"	"2.65030752313194"	"2.68841982200271"	"2.64048143697042"	"2.68124123737559"	"2.6954816764902"	"2.31386722036915"	"2.49415459401844"	"2.51054501020661"	"2.53529412004277"	"2.84447717574568"	"2.67577834167409"	"2.63748972951251"	"2.74350976472843"	"2.56584781867352"	"2.55022835305509"	"2.49692964807321"	"2.73639650227664"	"2.00860017176192"	"2.66651798055488"	"2.67942789661212"	"2.67486114073781"	"2.76192783842053"	"2.38916608436453"	"2.59549622182557"	"2.21218760440396"	"2.63346845557959"	"2.82151352840477"	"2"	"2.65896484266444"
