""	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"
"AFFX-HSAC07/X00351_3_st"	"3.47450763911698"	"3.50338206347373"	"3.49094120535679"	"3.23829706787539"	"2.86213137931304"	"3.21590181320403"	"3.60465797204787"	"3.03221570329798"	"3.89987519602101"	"2.83632411570675"	"3.21774707326279"	"3.18836592606315"	"2.95904139232109"	"3.5963771439976"	"3.30728204703335"	"3.19256745333655"	"3.43854234878611"	"3.54369563230925"	"3.08707120590654"	"3.27067883614471"	"2.78318869107526"	"3.06855689507236"	"3.25815819334079"	"2.19033169817029"	"3.19672872262329"	"2.8998205024271"	"3.63638758581316"	"3.182129214053"	"3.21404867941194"	"3.18412335423967"	"3.1078880251828"	"3.00774777800074"	"3.05614226205905"	"2.49136169383427"	"3.16849748352303"	"3.21298618473667"	"3.19479175772192"	"3.22865695810894"
"AFFX-HUMGAPDH/M33197_M_st"	"2.12057393120585"	"2.47856649559384"	"2.71933128698373"	"2"	"2"	"2.48000694295715"	"2.23299611039215"	"2"	"2.81624129999178"	"2"	"2.62940959910272"	"2.25285303097989"	"2"	"2.58206336291171"	"2.23044892137827"	"2.37474834601010"	"2"	"2.5854607295085"	"2"	"2.39269695325967"	"2.18184358794477"	"2.5854607295085"	"2.30749603791321"	"2.01703333929878"	"2.61489721603313"	"2"	"2"	"2.43296929087441"	"2.53529412004277"	"2.68033551341456"	"2.74429298312268"	"2.67851837904011"	"2.58994960132571"	"2"	"2.59549622182557"	"2.1846914308176"	"2.35024801833416"	"2.95760728706010"
"AFFX-HUMGAPDH/M33197_3_st"	"2.73719264270474"	"2.72427586960079"	"2.959518376973"	"2.51454775266029"	"2.07918124604762"	"2.75739602879302"	"2.66745295288995"	"2.49136169383427"	"2.86981820797933"	"2.30102999566398"	"2.64933485871214"	"2.82672252016899"	"2.13353890837022"	"2.59439255037543"	"2.64048143697042"	"2.3096301674259"	"2.29003461136252"	"2.62531245096167"	"2.38201704257487"	"2.51454775266029"	"2.01703333929878"	"2.63346845557959"	"2.45636603312904"	"2"	"2.94398887507377"	"2.28780172993023"	"2.48144262850230"	"2.77524625974024"	"2.54530711646582"	"2.68752896121463"	"2.62013605497376"	"2.86628733908419"	"2.66370092538965"	"2"	"2.42813479402879"	"2.48713837547719"	"2.48713837547719"	"2.64048143697042"
"AFFX-HSAC07/X00351_M_st"	"2.52633927738984"	"2.62117628177504"	"2.88138465677057"	"2.70842090013471"	"2"	"2.8481891169914"	"2.65127801399814"	"3.03059972196595"	"2.7664128471124"	"2.26481782300954"	"2.39619934709574"	"2.46389298898591"	"2.20951501454263"	"2.76789761601809"	"2.37474834601010"	"2.21218760440396"	"2.60959440922522"	"2.64048143697042"	"2.19033169817029"	"2"	"2"	"2.65609820201283"	"2.56110138364906"	"2.71096311899528"	"2.39967372148104"	"2.38738982633873"	"2.81023251799508"	"2.52113808370404"	"2.8055008581584"	"2.83505610172012"	"2.78816837114117"	"2.91750550955255"	"2.58994960132571"	"2.19589965240923"	"2.70842090013471"	"2.77158748088126"	"2.64443858946784"	"3.00560944536028"
"A28102_at"	"2.17897694729317"	"2.41995574848976"	"2"	"2.68484536164441"	"2.07188200730613"	"2.43136376415899"	"2.66086547800387"	"2.94051648493257"	"2"	"2.28780172993023"	"2.15533603746506"	"2.55509444857832"	"2"	"2.33445375115093"	"2"	"2.39794000867204"	"2.02938377768521"	"2"	"2.61489721603313"	"2.8055008581584"	"2"	"2.10037054511756"	"2.48429983934679"	"2.33645973384853"	"2.6232492903979"	"2.09691001300806"	"2.68574173860226"	"2.51054501020661"	"2.67486114073781"	"2"	"2.39619934709574"	"2.55266821611219"	"2.27875360095283"	"2.50242711998443"	"2.58206336291171"	"2.68663626926229"	"2.58883172559421"	"2.41497334797082"
"AB000115_at"	"2.44870631990508"	"2.39794000867204"	"2.55388302664387"	"2.07188200730613"	"2.29446622616159"	"2"	"2.22530928172586"	"2.47129171105894"	"2.29666519026153"	"2.05307844348342"	"2.2148438480477"	"2.26717172840301"	"2.04532297878666"	"2.21748394421391"	"2.2405492482826"	"2.17026171539496"	"2.26245108973043"	"2.29446622616159"	"2.35218251811136"	"3.34123662323869"	"2.28103336724773"	"2"	"2.29446622616159"	"2.46239799789896"	"3.19284611518884"	"2.04139268515823"	"2.25042000230889"	"2.31175386105575"	"2.5327543789925"	"2"	"2.51587384371168"	"2"	"2.33041377334919"	"2.01283722470517"	"2.37839790094814"	"2.34439227368511"	"2.60745502321467"	"3.11594317693906"
"AB000409_at"	"2"	"2"	"2.15228834438306"	"2"	"2.37474834601010"	"2"	"2"	"2"	"2.17026171539496"	"2"	"2"	"2.11394335230684"	"2"	"2"	"2.16435285578444"	"2"	"2.09691001300806"	"2"	"2"	"2"	"2"	"2"	"2"	"2.53529412004277"	"2"	"2"	"2"	"2.25527250510331"	"2"	"2.63948648926859"	"2"	"2"	"2"	"2"	"2.57634135020579"	"2"	"2"	"2"
"AB000449_at"	"2"	"2.22788670461367"	"2.55509444857832"	"2.43775056282039"	"2.49276038902684"	"2.3654879848909"	"2.11727129565576"	"2"	"2.49554433754645"	"2.3096301674259"	"2.48713837547719"	"2.19865708695442"	"2.98721922990801"	"2.4983105537896"	"2.69722934275972"	"2.09691001300806"	"2.56348108539441"	"2.21748394421391"	"2.45484486000851"	"2.91009054559407"	"2.72754125702856"	"2"	"2.12710479836481"	"2.57978359661681"	"2.31806333496276"	"2.45484486000851"	"2.29446622616159"	"2"	"2.04139268515823"	"2"	"2.12385164096709"	"2.04532297878666"	"2.25042000230889"	"2.25767857486918"	"2"	"2.07918124604762"	"2"	"2.40654018043396"
"AB000464_at"	"2.90471554527868"	"2.87852179550121"	"3.40036527334994"	"3.17289469775218"	"2.50785587169583"	"2.8750612633917"	"2.61172330800734"	"3.03100428136354"	"3.17464119266045"	"2.39093510710338"	"2.84880470105180"	"2.79865064544527"	"2.98407703390283"	"2.8234742291703"	"2.73878055848437"	"2.82477646247555"	"3.05230909964732"	"2.9237619608287"	"2.90687353472207"	"3.09968064110925"	"2.32014628611105"	"2.87390159786446"	"2.95520653754194"	"3.08170727009735"	"2.68214507637383"	"2.90254677931399"	"3.05115252244738"	"2.91009054559407"	"2.81557774832427"	"2.7664128471124"	"2.93801909747621"	"2.44715803134222"	"2.90254677931399"	"2.57863920996807"	"2.92582757462474"	"3"	"3.12057393120585"	"3.06707085604537"
"AB000468_at"	"2.57749179983723"	"2.39619934709574"	"2.55870857053317"	"2.42488163663107"	"2.74350976472843"	"2.04139268515823"	"2.49415459401844"	"2.37657695705651"	"2.95230800966213"	"2.35983548233989"	"3.38614210893082"	"2"	"2.97173959088778"	"2.85672889038288"	"3.11025291735340"	"2.55266821611219"	"2.69108149212297"	"2.85247999363686"	"2.7427251313047"	"2.9329808219232"	"2.93601079571521"	"3.06669855042300"	"2.39794000867204"	"2.76267856372744"	"2"	"2.44404479591808"	"2"	"2"	"2"	"2.75739602879302"	"2.43136376415899"	"2.73399928653839"	"2.63948648926859"	"2.71432975974523"	"2"	"2.04532297878666"	"2.08635983067475"	"2.57518784492766"
"AB000584_at"	"2"	"2"	"2"	"2"	"2"	"2"	"2.12710479836481"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2.12710479836481"	"2"	"2"	"2.02530586526477"	"2"	"2"	"2"	"2.06069784035361"	"2"	"3.00432137378264"	"3.27531135454181"	"2"	"2"	"2"	"2"	"2"	"2"
"AB001106_at"	"2.55022835305509"	"2.63447727016073"	"2.78031731214015"	"2.40654018043396"	"2.75511226639507"	"2.13353890837022"	"2.45024910831936"	"2.46982201597816"	"2.65321251377534"	"2.60205999132796"	"2.68752896121463"	"2.35602585719312"	"2.88366143515362"	"2.40654018043396"	"2.45636603312904"	"2.67209785793572"	"2.40654018043396"	"2.26007138798507"	"2.54900326202579"	"2.92064500140679"	"2.8767949762007"	"2.46389298898591"	"2.56110138364906"	"2.50514997831991"	"2.22788670461367"	"2.22788670461367"	"2.48995847942483"	"2.43775056282039"	"2.79588001734408"	"2.30535136944662"	"2.39619934709574"	"2.63648789635337"	"2.4456042032736"	"2.33845649360460"	"2.56702636615906"	"2.52633927738984"	"2.47275644931721"	"2.76863810124761"
"AB001325_at"	"3.06032002868829"	"2.97358962342726"	"3.28420506770179"	"3.03261876085072"	"2.69983772586725"	"3.13798673272353"	"3.13257984765974"	"3.24551266781415"	"3.27806733088866"	"2.89872518158949"	"3.00389116623691"	"2.81358098856819"	"2.97034687623009"	"3.04139268515822"	"2.55509444857832"	"2.91803033678488"	"2.90091306773767"	"2.78175537465247"	"2.97863694838447"	"2.96378782734556"	"2.70070371714502"	"2.90848501887865"	"2.90687353472207"	"2.92064500140679"	"2.92788341033071"	"2.81023251799508"	"3.19340290306242"	"2.99651167215418"	"3.07445071895459"	"2.98000337158375"	"3.02201573981772"	"3.12580645813953"	"3.03382569395331"	"2.6232492903979"	"2.59879050676312"	"3.00130093302042"	"3.10653085382238"	"3.29402509409532"
"AB002315_at"	"2.19865708695442"	"2.51587384371168"	"2.47856649559384"	"2.37657695705651"	"2.25767857486918"	"2"	"2"	"2.15533603746506"	"2.58994960132571"	"2"	"2.55144999797288"	"2"	"2.35983548233989"	"2.19312459835446"	"2.16136800223497"	"2.13353890837022"	"2.53781909507327"	"2.25285303097989"	"2"	"2.51321760006794"	"2.23552844690755"	"2"	"2"	"2.14612803567824"	"2.16136800223497"	"2.05690485133647"	"2"	"2.12710479836481"	"2"	"2.51454775266029"	"2.17318626841227"	"2.40654018043396"	"2.37839790094814"	"2.40483371661994"	"2.81954393554187"	"2"	"2.51851393987789"	"2.22530928172586"
"AB002318_at"	"3.03502928220237"	"3.08457627793433"	"3.10754912974469"	"3.11925588927794"	"2.47129171105894"	"2.92479599579791"	"3.01745072951054"	"3.09795107099415"	"3.13830269816628"	"2.98587535730839"	"3.19506899646859"	"2.69372694892365"	"2.87909587950007"	"2.99563519459755"	"2.80002935924413"	"2.98452731334379"	"3.12024479554637"	"2.63748972951251"	"2.86272752831797"	"3.31132995230379"	"2.92324401863028"	"2.7664128471124"	"2.6414741105041"	"3.12287092286444"	"2.78247262416629"	"2.89762709129044"	"3.27669152884504"	"3.13861843389949"	"2.84447717574568"	"3.15594301797184"	"2.8733206018154"	"3.02242837118549"	"3.21085336531489"	"2"	"3.00902574208691"	"3.00560944536028"	"3.01953168453126"	"3.12775251583297"
"AB002382_at"	"2.7427251313047"	"2.33243845991561"	"2.66275783168157"	"2.70926996097583"	"2.71096311899528"	"2.71180722904119"	"2.54032947479087"	"3.01325866528352"	"2.59328606702046"	"2.47712125471966"	"2.74036268949424"	"2.52762990087134"	"2.7481880270062"	"2.65991620006985"	"2.73158876518674"	"2.39967372148104"	"2.72835378202123"	"2.56229286445647"	"2.41995574848976"	"2.99869515831166"	"2.44247976906445"	"2.91434315711944"	"2.25042000230889"	"2.95568775031351"	"2.63346845557959"	"2.54406804435028"	"2.6170003411209"	"2.89320675305985"	"2.72345567203519"	"2.82216807936802"	"2.77085201164214"	"3.01241537476243"	"2.85491302230786"	"2.25285303097989"	"2.08635983067475"	"2.57749179983723"	"2.16136800223497"	"2.92992956008459"
"AB002559_at"	"2.88024177589548"	"3.21906033244886"	"3.05307844348342"	"3.02612451674545"	"2.91487181754005"	"3.00860017176192"	"3.02857125269254"	"3.16286299332193"	"3.04099769242349"	"3.06595298031387"	"2.8208579894397"	"2.8767949762007"	"2.86213137931304"	"2.96284268120124"	"2.97451169273733"	"2.80888586735981"	"3.43184604569873"	"2.96189547366785"	"2.83058866868514"	"3.09725730969342"	"2.13987908640124"	"3.19228861256812"	"2.8750612633917"	"2.9106244048892"	"2.82412583391655"	"2.78958071216443"	"3.07445071895459"	"3.25551371281953"	"3.01029995663981"	"3.48911436937892"	"3.29534714833362"	"3.03502928220237"	"3.03742649794062"	"2.95808584852109"	"3.3933996952931"	"3.21351775699631"	"3.20167017964658"	"3.1215598441875"
"AB003102_at"	"2.74115159885179"	"2.86864443839483"	"2.94694327069783"	"2.81557774832427"	"2.87852179550121"	"2.88592633980143"	"2.66931688056611"	"3.00646604224923"	"2.92531209149965"	"2.64246452024212"	"3.1360860973841"	"2.48287358360875"	"2.94497590841205"	"2.84757265914211"	"2.96614173273903"	"2.68124123737559"	"3.06445798922692"	"2.76566855475901"	"2.54157924394658"	"3.09201847075280"	"2.51321760006794"	"2.73319726510657"	"2.72427586960079"	"2.89817648349768"	"2.58883172559421"	"2.56348108539441"	"2.79726754083072"	"2.84323277809801"	"2.5705429398819"	"2.90633504180509"	"3.05880548667591"	"2.79098847508882"	"2.76789761601809"	"2.66931688056611"	"2.83505610172012"	"2.8750612633917"	"2.77815125038364"	"2.87040390527903"
"AB003177_at"	"2.76937732607614"	"2.8926510338773"	"3.01870049866624"	"2.81424759573192"	"2.99956548822598"	"2.76042248342321"	"2.88309335857569"	"2.78816837114117"	"3.12090281761453"	"2.69284691927723"	"3.06744284277638"	"2.29225607135648"	"2.80413943233535"	"2.86213137931304"	"2.78461729263288"	"2.8109042806687"	"2.78532983501077"	"2.53402610605613"	"2.44404479591808"	"3.11260500153457"	"2.64542226934909"	"2.69897000433602"	"2.61489721603313"	"3.01828430842653"	"2.56229286445647"	"2.78031731214015"	"2.93399316383124"	"2.79795964373720"	"2.80413943233535"	"2.89153745767256"	"2.98452731334379"	"2.77670118398841"	"2.71349054309394"	"2.80277372529198"	"2.9329808219232"	"2.74896286125616"	"2.47129171105894"	"2.89762709129044"
"AB003698_at"	"2.11058971029925"	"2.26007138798507"	"2.62634036737504"	"2.16731733474818"	"2.38560627359831"	"2.13353890837022"	"2.04139268515823"	"2"	"2.57518784492766"	"2.31386722036915"	"2.51321760006794"	"2"	"2.67117284271508"	"2.57170883180869"	"2.34044411484012"	"2.13987908640124"	"2.7160033436348"	"2.25042000230889"	"2.11058971029925"	"2.62221402296630"	"2.54530711646582"	"2"	"2.25527250510331"	"2.61909333062674"	"2"	"2.07188200730613"	"2.17609125905568"	"2.08278537031645"	"2.33845649360460"	"2.23804610312880"	"2.18184358794477"	"2"	"2.02118929906994"	"2"	"2.08635983067475"	"2"	"2"	"2"
